subject,RR_Rest,RR_Overall,RR_Rest_enhance
sub-01,0.400834669448898,0.372600707429374,0.0282339620195245
sub-02,0.288889851855062,0.225398063775174,0.063491788079888
sub-03,0.48111271482016,0.341043001410612,0.140069713409548
sub-05,0.423031713136014,0.412261807476517,0.010769905659497
sub-06,0.299584331947773,0.309891943476302,-0.0103076115285292
sub-07,0.396667988893296,0.327764781299143,0.068903207594153
sub-09,0.393334644448815,0.320324166085864,0.0730104783629512
sub-10,0.332223329633321,0.378002403191903,-0.045779073558582
sub-11,0.526668422228074,0.377535880983911,0.149132541244163
sub-12,0.33833446111487,0.294606716682627,0.0437277444322438
sub-13,0.464001546671822,0.377992361326164,0.0860091853456582
sub-14,0.305834352781176,0.342933608053481,-0.0370992552723048
sub-15,0.370477425400942,0.322822599397835,0.0476548260031067
sub-16,0.550668502228341,0.325476320648642,0.225192181579699
sub-18,0.380001266670889,0.290991783315036,0.089009483355853
sub-19,0.461668205560685,0.411443623703091,0.050224581857594
sub-20,0.412501375004584,0.341947640781495,0.070553734223088
sub-21,0.352667842226141,0.32201637735965,0.030651464866491
sub-22,0.42666808889363,0.424161890332271,0.002506198561358
sub-23,0.431112548152938,0.346702992193075,0.0844095559598637
sub-24,0.538890685191173,0.292032341947017,0.246858343244155
sub-25,0.360477392067498,0.305529269665457,0.0549481224020405
sub-27,0.399334664448881,0.309002694446892,0.0903319700019894
sub-28,0.376112364818994,0.31347074036938,0.0626416244496135
sub-29,0.174286295240032,0.199836179072603,-0.0255498838325714
sub-30,0.160000533335111,0.212115007023719,-0.052114473688608
sub-31,0.301429576193826,0.291152125899394,0.0102774502944317
sub-32,0.842502808342694,0.379582196745114,0.462920611597581
sub-33,0.477144447624349,0.307442914724124,0.169701532900226
sub-34,0.480834936116454,0.330172709585811,0.150662226530643
sub-35,0.535927712351634,0.385539970546686,0.150387741804948
sub-36,0.375129455559724,0.388175546902443,-0.0130460913427195
sub-37,0.620002066673556,0.630076661605096,-0.0100745949315401
sub-38,0.291667638892129,0.329871661100722,-0.0382040222085925
